X,Y,OBJECTID,SCH_TYPE,SCHCLASS,SCHNAME,ADDRESS,CITY,ZIP,PHONE,URL,SDISTNAME,LAT,LON,GlobalID,GRADELVL,last_edited_user,last_edited_date,created_user,created_date
963147.096784778,495826.116141729,11,PUBLIC,ELEMENTARY SCHOOL,QUAIL RUN ELEMENTARY SCHOOL,4600 W CORTARO FARMS RD,TUCSON,85742,520-579-4700,https://www.maranausd.org/qre,MARANA UNIFIED SCHOOL DISTRICT,32.36022626,-111.06443103,{81213FD5-A00F-438B-8FC6-0B7AC452BF34},PK-6,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:48+00,,
1023124.92979003,464593.848097116,12,CHARTER,OTHER,BASIS TUCSON NORTH,5740 E RIVER RD,TUCSON,85750,520-207-0076,https://www.basised.com/tucson-north/,,32.27292459,-110.87119701,{E1105D8D-DD55-4CD9-9F64-47B637F9E5AF},5-12,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:51+00,,
967810.493438318,502908.903543308,13,PUBLIC,HIGH SCHOOL,MOUNTAIN VIEW HIGH SCHOOL,3901 W LINDA VISTA BL,TUCSON,85742,520-579-4400,https://www.maranausd.org/mvhs,MARANA UNIFIED SCHOOL DISTRICT,32.37959068,-111.04914355,{41E91AA0-1AD8-419E-888F-828BA64170DB},9-12,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:49+00,,
998253.25,447827.281167977,14,PUBLIC,MIDDLE SCHOOL,MANSFELD MAGNET MIDDLE SCHOOL,1300 E 6TH ST,TUCSON,85719,520-225-1800,https://mansfeldms.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.22748175,-110.95214634,{CE963D9D-429B-49F3-B360-91064A3F5EBA},6-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 11:31:29+00,,
1002997.69980315,482898.457349084,15,PRIVATE,ELEMENTARY SCHOOL,PUSCH RIDGE CHRISTIAN ACADEMY GRAMMAR SCHOOL,6450 N CAMINO MIRAVAL,TUCSON,85718,520-529-7080,https://www.prca.academy/,,32.32375688,-110.93576838,{59C2513C-DD4A-4506-9468-2FE934E53268},PK-5,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:50+00,,
1003561.55511811,421625.992454067,16,PUBLIC,ELEMENTARY SCHOOL,ESPERANZA ELEMENTARY SCHOOL,2353 E BANTAM RD,TUCSON,85706,520-545-2900,https://www.susd12.org/esperanza,SUNNYSIDE UNIFIED SCHOOL DISTRICT,32.1553344,-110.93575477,{35D7204A-2EB8-4BEE-8DB8-E6EB5DAFF779},K-6,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 10:00:37+00,,
999988.363188975,514004.343503937,17,CHARTER,OTHER,BASIS ORO VALLEY,11155 N ORACLE RD,ORO VALLEY,85737,520-308-5220,https://www.basised.com/oro-valley/,,32.40932575,-110.94459476,{CACDCDD8-6C4F-44A2-A6AF-2B5668CA96AB},6-12,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/22 16:26:41+00,,
1017876.69389764,447808.291338585,18,PUBLIC,HIGH SCHOOL,RINCON HIGH SCHOOL,421 N ARCADIA AV,TUCSON,85711,520-232-5600,https://rinconhs.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.22692939,-110.88869523,{582DCA46-3D62-4EB1-8D1F-2714DD8DB5AC},9-12,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:51+00,,
1037672.79691601,443455.762139104,19,PRIVATE,OTHER,FAMILY LIFE ACADEMY,530 S PANTANO RD,TUCSON,85710,520-296-8989,http://familylifeacademy.com/,,32.21442995,-110.82482993,{470E5CCD-FBA2-485F-BCC0-767303B70970},PK-8,U157087,2024/06/11 22:54:13+00,,
997829.937664043,449411.787401572,20,PUBLIC,POSTSECONDARY SCHOOL,UNIVERSITY OF ARIZONA,1200 E UNIVERSITY BL,TUCSON,85719,520-621-2211,http://www.arizona.edu,,32.23184726,-110.95346918,{96C1B096-F1C0-4E26-9684-883B3121CB4E},,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:50+00,,
1022363.8687664,444831.999015749,21,PRIVATE,OTHER,SAINT JOSEPH CATHOLIC SCHOOL,215 S CRAYCROFT RD,TUCSON,85711,520-747-3060,https://saintjosephstucson.weebly.com/,,32.21863029,-110.87427971,{5F1B0EBE-55D6-4A82-A6CF-26FCF214572D},PK-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:50+00,,
1008467.875,455383.281167977,22,CHARTER,OTHER,VERITAS ACADEMY OF TUCSON,2151 N PALO VERDE BL,TUCSON,85716,520-576-0427,https://www.vatucson.com/,,32.24799305,-110.91889054,{C74D78ED-83F6-428E-B113-EA3ED010614B},K-12,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:52+00,,
885167.219160106,388712.079068244,23,PUBLIC,ELEMENTARY SCHOOL,ROBLES ELEMENTARY SCHOOL,9875 S SASABE RD,TUCSON,85736,520-822-9418,http://robles.altarvalleyschools.org/,ALTAR VALLEY ELEMENTARY SCHOOL DISTRICT,32.06724705,-111.31889389,{E80F9859-701D-4B30-81A2-15802AD26985},PK-5,"CENTRAL\u154600 - ""CENTRAL\U154600""",2022/10/05 11:25:10+00,,
1010972.05839895,450614.717519686,24,CHARTER,ELEMENTARY SCHOOL,BASIS TUCSON PRIMARY,3825 E 2ND ST,TUCSON,85716,520-326-6367,https://www.basised.com/tucson-primary/,,32.23482247,-110.91093596,{CE516C48-4EC2-4F92-862B-DF0C309F4670},K-4,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:50+00,,
1075860.88188976,390163.475721784,25,PUBLIC,ELEMENTARY SCHOOL,OCOTILLO RIDGE ELEMENTARY SCHOOL,10170 S WHITE LIGHTNING LN,VAIL,85641,520-879-3600,https://ore.vailschooldistrict.org/,VAIL UNIFIED SCHOOL DISTRICT,32.06683783,-110.70331577,{C1A2936A-118B-4329-8C79-4B9AF78806E5},K-5,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:49+00,,
986012.936679792,437874.43175853,26,PUBLIC,OTHER,CAPE SCHOOL-JAIL,1270 W SILVERLAKE RD,TUCSON,85713,520-740-4704,https://www.sc.pima.gov/pima-county-juvenile-court/detention/school/,PIMA ACCOMMODATION SCHOOL DISTRICT,32.20042149,-110.99200263,{7F41B177-17F5-4BFD-BF13-65B8C96FB7DA},7-12,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/22 16:42:20+00,,
982329.264435697,418654.321194224,27,PUBLIC,ELEMENTARY SCHOOL,GRIJALVA ELEMENTARY SCHOOL,1795 W DREXEL RD,TUCSON,85746,520-908-3600,https://grijalvaes.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.14767964,-111.00443723,{29385AA8-8F03-4AB4-A9A5-FF0FCFC6CCF6},PK-5,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/04/04 10:27:56+00,,
1002659.375,436437.156167977,28,PUBLIC,OTHER,PUEBLO GARDENS PRE K-8 SCHOOL,2210 E 33RD ST,TUCSON,85713,520-225-2700,https://pueblogardensk8.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.19606612,-110.93823444,{FF55D6E1-FA1F-47D6-99E8-4ABC5A4614A3},PK-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:51+00,,
994798.837926511,448159.914370082,29,PUBLIC,OTHER,ROSKRUGE BILINGUAL MAGNET K-8 SCHOOL,501 E 6TH ST,TUCSON,85705,520-225-2900,https://roskrugek8.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.22848076,-110.96330667,{0C661982-66A7-4B4A-82C2-68BE4B96EC49},K-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:51+00,,
1004751.47604987,442483.748687662,30,PUBLIC,ELEMENTARY SCHOOL,ROBISON ELEMENTARY SCHOOL,2745 E 18TH ST,TUCSON,85716,520-232-7800,https://robisones.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.21263284,-110.93129283,{46029CE0-C0F9-4F76-A85C-719E01E6BAAF},PK-5,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:51+00,,
1018039.37664042,452412.16371391,31,CHARTER,ELEMENTARY SCHOOL,DESERT SKY COMMUNITY SCHOOL,1350 N ARCADIA AV,TUCSON,85712,520-745-3888,http://www.desertskycommunityschool.org/,,32.23957875,-110.88802664,{63399E0E-6656-4037-8F80-1AE79D32CAF2},K-5,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 09:13:17+00,,
1009937.31167979,465773.371062994,32,CHARTER,OTHER,KHALSA MONTESSORI SCHOOL RIVER CAMPUS,3701 E RIVER RD,TUCSON,85718,520-529-3611,https://khalsamontessorischool.com/,,32.27651246,-110.9138241,{9A9F3162-8A80-41E3-BB53-2F15E5F69884},PK-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 11:08:41+00,,
1025954.43766404,434003.25,33,PUBLIC,OTHER,BORMAN K-8 SCHOOL,6630 E LIGHTNING DR ,TUCSON,85708,520-584-4600,https://bormank8.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.18877155,-110.86301417,{5921B964-EF8D-4EB9-B39D-C97A6654621D},K-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/22 16:31:16+00,,
974134.645997375,473388.293963253,34,PUBLIC,ELEMENTARY SCHOOL,LAGUNA ELEMENTARY SCHOOL,5001 N SHANNON RD,TUCSON,85705,520-696-8450,https://laguna.flowingwellsschools.org/,FLOWING WELLS UNIFIED SCHOOL DISTRICT,32.29830933,-111.02945179,{25F428EA-420F-4959-A21E-F7F0DE171890},K-6,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 11:19:25+00,,
1030473.75,432362.781167977,35,PUBLIC,ELEMENTARY SCHOOL,ERICKSON ELEMENTARY SCHOOL,6750 E STELLA RD,TUCSON,85730,520-584-5000,https://ericksones.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.18414024,-110.84846026,{9B3F86A5-8C2C-41B2-8239-78BC2F9EF98B},PK-5,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/04/04 10:17:56+00,,
984127.980643045,520772.678149603,36,CHARTER,OTHER,LEMAN ACADEMY OF EXCELLENCE ORO VALLEY,12255 N LA CANADA DR,ORO VALLEY,85755,520-912-4005,https://lemanacademy.com/oro-valley-school/,,32.42831436,-110.99579335,{B169EAE3-B040-4851-9E1C-6F678A53BB13},PK-8,U157087,2024/06/12 20:35:10+00,,
961124.281496063,416190.72604987,37,PUBLIC,ELEMENTARY SCHOOL,JOHNSON PRIMARY SCHOOL,6060 S JOSEPH AV,TUCSON,85757,520-908-3800,https://johnsonk3.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.14138333,-111.07300803,{C33BBBFB-ED4D-420D-8DAC-B9AF1B009059},PK-3,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 11:06:28+00,,
1014438.38451444,476941.852362208,38,PUBLIC,HIGH SCHOOL,CATALINA FOOTHILLS HIGH SCHOOL,4300 E SUNRISE DR,TUCSON,85718,520-209-8300,http://cfhs.cfsd16.org/,CATALINA FOOTHILLS UNIFIED SCHOOL DISTRICT,32.30709213,-110.89891934,{C40AA79C-65B7-4B33-A1E1-30C0676B250C},9-12,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/22 16:46:41+00,,
1026357.05249344,453682.907480314,39,CHARTER,OTHER,LEMAN VIRTUAL ACADEMY,6188 E PIMA ST,TUCSON,85712,520-462-0832,https://lemanacademy.com/online-leman/virtual-academy-arizona/, ,32.2428495,-110.86108812,{5700FE24-90C8-4AD4-92F3-ACBFC9DBFF09},PK-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 11:28:07+00,,
981109.117782153,403902.074146979,40,PRIVATE,OTHER,SAN XAVIER MISSION SCHOOL,1980 W SAN XAVIER RD,TUCSON,85746,520-294-0628,https://www.sanxaviermission.org/school,,32.10715964,-111.00878085,{A25038F3-BEB0-4CB6-A472-DAB2AF8B9B29},K-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:50+00,,
992257.436023623,452022.77165354,41,CHARTER,MIDDLE SCHOOL,PIMA PARTNERSHIP ACADEMY,1346 N STONE AV,TUCSON,85705,520-326-2528,https://www.partnershipschools.us/ppa/,,32.23915972,-110.97141451,{5296B04B-B50B-4531-96ED-21143B34A592},6-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:50+00,,
998871.647965878,445379.265091866,42,PUBLIC,OTHER,MILES EXPLORATORY LEARNING CENTER,1400 E BROADWAY BL,TUCSON,85719,520-225-2200,https://milesk8.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.22073802,-110.95021795,{A32FC557-80B4-4CFF-A9A2-C7428E4C5A5B},PK-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/28 12:08:38+00,,
1048015.8566273,453986.486876637,43,PRIVATE,OTHER,DESERT CHRISTIAN K-8 SCHOOL,9415 E WRIGHTSTOWN RD,TUCSON,85715,520-885-4800,https://www.desertchristian.org/k8,,32.24307927,-110.79103523,{E4B4814F-E712-40F1-AD2A-577852DCBE45},PK-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 09:03:33+00,,
1002262.81496063,446187.148293965,44,PUBLIC,HIGH SCHOOL,TEENAGE PARENT HIGH SCHOOL,102 N PLUMER AV,TUCSON,85719,520-225-3250 or 3256,https://taphs.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.2228742,-110.93922968,{2D1BB94B-A93A-404C-A114-110AE448EC06},9-12,U157087,2024/06/14 14:59:15+00,,
1000759.25164042,416763.814304464,45,PUBLIC,HIGH SCHOOL,SUNNYSIDE HIGH SCHOOL,1725 E BILBY RD,TUCSON,85706,520-545-5300,https://old.susd12.org/sunnyside,SUNNYSIDE UNIFIED SCHOOL DISTRICT,32.14204027,-110.94495064,{4050BE8E-8B77-4033-9688-DD589F197BF9},9-12,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:49+00,,
919104.022637796,529109.114501312,46,PUBLIC,MIDDLE SCHOOL,MARANA MIDDLE SCHOOL,11285 W GRIER RD,MARANA,85653,520-682-4730,https://www.maranausd.org/mms,MARANA UNIFIED SCHOOL DISTRICT,32.45259227,-111.20634364,{2AF92120-FA6A-47CD-A1C6-EB3314B48224},7-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 11:32:06+00,,
990660.394356955,461603.264107615,47,CHARTER,HIGH SCHOOL,DESERT ROSE ACADEMY SCHOOL,326 W FORT LOWELL RD,TUCSON,85705,520-797-4884,https://www.go2rose.com/desert-rose-academy/,,32.26553065,-110.97630786,{69CE9DF4-37C5-4A87-8B14-8FE378E0B1FB},9-12,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 09:08:20+00,,
993565.824146982,492647.487860896,48,PRIVATE,OTHER,IMMACULATE HEART ACADEMY,410 E MAGEE RD,ORO VALLEY,85704,520-297-6672,https://www.ihschool.org/,,32.3507857,-110.96601854,{DD368223-4F7C-4114-9F39-B1E11FE8D19D},PK-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 10:51:03+00,,
1011037.18372703,465332.55675853,49,PRIVATE,OTHER,TUCSON HEBREW ACADEMY,3888 E RIVER RD,TUCSON,85718,520-529-3888,https://www.thaaz.org/,,32.27527259,-110.91027917,{38E4A079-0A50-4C04-B3D4-BB370247358A},K-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:50+00,,
994321.125656169,469178.921259843,50,PUBLIC,OTHER,AMPHITHEATER ACADEMY ONLINE,450 E WETMORE RD,TUCSON,85705,520-696-6160,https://www.amphi.com/amphiacademy,AMPHITHEATER UNIFIED SCHOOL DISTRICT,32.28626379,-110.96424833,{BC289803-63EC-40A8-91D2-24BFCE9475B6},3-12,"CENTRAL\u154600 - ""CENTRAL\U154600""",2022/10/05 11:38:46+00,,
990348.671587925,427508.300853021,51,PUBLIC,OTHER,C.E. ROSE PRE K-8 SCHOOL,710 W MICHIGAN DR,TUCSON,85714,520-908-4400,https://rosek8.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.17182615,-110.9782794,{45D16638-33B9-4356-AE93-1FAF2DD0E6D7},PK-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/22 16:31:38+00,,
949717.18011811,493370.610892385,52,PUBLIC,ELEMENTARY SCHOOL,COYOTE TRAIL ELEMENTARY SCHOOL,8000 N SILVERBELL RD,TUCSON,85743,520-579-5105,https://www.maranausd.org/cte,MARANA UNIFIED SCHOOL DISTRICT,32.35376348,-111.10798178,{7BF00B1C-E78B-426C-A2AE-D0842F95CB46},PK-6,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 08:28:27+00,,
939973.195209973,431920.343503937,53,PUBLIC,ELEMENTARY SCHOOL,LAURA BANKS ELEMENTARY SCHOOL,3200 S LEAD FLOWER AV,TUCSON,85735,520-908-5700,https://bankses.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.18505635,-111.14097258,{64F14A0E-97FA-4AD2-9FAD-BEBA8908B5C4},PK-5,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 11:21:08+00,,
984707.203740157,464774.830052495,54,PUBLIC,HIGH SCHOOL,FLOWING WELLS HIGH SCHOOL,3725 N FLOWING WELLS RD,TUCSON,85705,520-696-8002,http://fwhs.flowingwellsschools.org/,FLOWING WELLS UNIFIED SCHOOL DISTRICT,32.27438976,-110.99547768,{E02F651E-2583-485E-874D-5C0F6ACE5E46},9-12,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 10:12:40+00,,
982443.73917323,474842.186351709,55,PUBLIC,ELEMENTARY SCHOOL,WALKER ELEMENTARY SCHOOL,1750 W ROLLER COASTER RD,TUCSON,85704,520-696-6518,http://www.amphi.com/Walker,AMPHITHEATER UNIFIED SCHOOL DISTRICT,32.30211357,-111.00252285,{B5EC259E-447B-441A-9C71-A6D7FB3FE10F},K-5,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:48+00,,
1037359.92683727,400542.620406821,56,PUBLIC,HIGH SCHOOL,VAIL ACADEMY AND HIGH SCHOOL,7762 E SCIENCE PARK DR,TUCSON,85747,520-879-1900,https://vahs.vailschooldistrict.org,VAIL UNIFIED SCHOOL DISTRICT,32.09649375,-110.82724552,{324BAB7A-C7E5-4AE2-99A3-3102423209C5},K-12,"CENTRAL\u141245 - ""CENTRAL\U141245""",2021/12/09 11:54:11+00,,
1027595.73950131,448741.773622051,57,PRIVATE,OTHER,SAINT MICHAELS SCHOOL,602 N WILMOT RD,TUCSON,85711,520-722-8478,http://www.stmichael.net,,32.22923551,-110.85723989,{ECD50728-6F69-4331-8BC0-0D5D2A044BFC},K-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:50+00,,
975229.720800526,420441.877952754,58,PUBLIC,MIDDLE SCHOOL,PISTOR MIDDLE SCHOOL,5455 S CARDINAL AV,TUCSON,85746,520-908-5400,https://pistorms.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.15275622,-111.02732634,{FEF403E6-06B6-41A8-BC12-001A071BD4F6},6-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/22 16:28:51+00,,
1017932.56266404,447808.281167977,59,PUBLIC,HIGH SCHOOL,UNIVERSITY HIGH SCHOOL,421 N ARCADIA AV,TUCSON,85711,520-232-5900,https://uhs.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.22692789,-110.88851458,{7C15875A-8CA2-4755-A85C-0D811B014D79},9-12,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/28 12:11:04+00,,
1052773.2089895,435080.526902884,60,CHARTER,OTHER,LEMAN ACADEMY OF EXCELLENCE EAST,10100 E GOLF LINKS RD,TUCSON,85730,520-526-0474,https://lemanacademy.com/eastside-school/,,32.19098046,-110.77629936,{572D3CB9-2047-4583-B083-A1974110968D},PK-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 11:24:30+00,,
996849.941929135,444116.182414696,61,PUBLIC,HIGH SCHOOL,PROJECT MORE HIGH SCHOOL,440 S PARK AV,TUCSON,85719,520-225-2600,https://morehs.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.21731619,-110.95679115,{09AED008-29F3-4C41-B6A1-3B7956DD03F1},9-12,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/28 12:09:46+00,,
1016326.3074147,458907.866797902,62,PRIVATE,OTHER,CARDEN CHRISTIAN ACADEMY CENTRAL,2727 N SWAN RD,TUCSON,85712,520-318-3824,http://www.cardenchristian.com/,,32.25747701,-110.89336628,{9E8FE932-F660-4817-A79D-68B9DA7E8830},PK-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/22 16:43:07+00,,
1021198.29954068,443060.556102365,63,PUBLIC,MIDDLE SCHOOL,ALICE VAIL MIDDLE SCHOOL,5350 E 16TH ST,TUCSON,85711,520-584-5400,https://vailms.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.21379255,-110.87810348,{7E0CE3D5-4213-4AEA-B5A1-85A6A7AEE6B4},6-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/22 15:55:45+00,,
1038118.05380578,448146.86811024,64,CHARTER,OTHER,TUCSON INTERNATIONAL ACADEMY-EAST,450 N PANTANO RD,TUCSON,85710,520-722-9651,https://tucsoninternationalacademy.com/k-12-charter-schools-tucson/charter-school-campuses/tucson-international-academy-east/,,32.22731066,-110.82323611,{1153B6C3-406B-4ABB-AFEE-0A616A0D953A},K-12,"CENTRAL\u149245 - ""CENTRAL\U149245""",2020/10/30 14:34:57+00,,
985079.869750656,462038.620734908,65,PUBLIC,OTHER,DOUGLAS ELEMENTARY SCHOOL,3302 N FLOWING WELLS RD,TUCSON,85705,520-696-8300,https://douglas.flowingwellsschools.org/,FLOWING WELLS UNIFIED SCHOOL DISTRICT,32.26686036,-110.99434811,{FA606231-0A5C-4690-9DD3-30B3C6EB3678},PK-8,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 09:23:57+00,,
710841.740157481,332341.208989501,66,PUBLIC,ELEMENTARY SCHOOL,INDIAN OASIS ELEMENTARY PRIMARY SCHOOL,111 W MAIN ST,SELLS,85634,520-719-1230,http://indianoasisprimary.org/,BABOQUIVARI UNIFIED SCHOOL DISTRICT,31.91368696,-111.88172441,{4E44AC75-601E-43C2-ACD1-4B28ED90971A},PK-3,U157087,2024/06/12 18:34:32+00,,
997726.066601049,436094.249015749,67,PUBLIC,ELEMENTARY SCHOOL,HOLLADAY FINE ARTS MAGNET ELEMENTARY SCHOOL,1110 E 33RD ST,TUCSON,85713,520-225-1600,https://holladayes.tusd1.org/,TUCSON UNIFIED SCHOOL DISTRICT,32.19524601,-110.95419074,{C2433328-4B20-475E-A597-781B3B972E26},PK-5,"CENTRAL\u149245 - ""CENTRAL\U149245""",2022/03/23 10:46:55+00,,
